Fecha,Mes,Año,Producto,Ventas,Gasto en Publicidad
2019-09-01,September,2019,Producto A,7782,1855
2019-10-01,October,2019,Producto A,2298,2057
2019-11-01,November,2019,Producto A,2927,1070
2019-12-01,December,2019,Producto A,5571,2994
2020-01-01,January,2020,Producto A,8228,2348
2020-02-01,February,2020,Producto A,8846,3364
2020-03-01,March,2020,Producto A,7026,4454
2020-04-01,April,2020,Producto A,9364,4482
2020-05-01,May,2020,Producto A,8368,4532
2020-06-01,June,2020,Producto A,7284,3418
2020-07-01,July,2020,Producto A,6576,1549
2020-08-01,August,2020,Producto A,8412,1427
2020-09-01,September,2020,Producto A,8820,3245
2020-10-01,October,2020,Producto A,8146,3910
2020-11-01,November,2020,Producto A,5838,2486
2020-12-01,December,2020,Producto A,2922,3815
2021-01-01,January,2021,Producto A,6819,4103
2021-02-01,February,2021,Producto A,7802,3494
2021-03-01,March,2021,Producto A,8104,3321
2021-04-01,April,2021,Producto A,3044,2997
2021-05-01,May,2021,Producto A,7249,3851
2021-06-01,June,2021,Producto A,5465,1098
2021-07-01,July,2021,Producto A,8630,4913
2021-08-01,August,2021,Producto A,7568,1563
2021-09-01,September,2021,Producto A,5987,1210
2021-10-01,October,2021,Producto A,7361,3691
2021-11-01,November,2021,Producto A,4002,4662
2021-12-01,December,2021,Producto A,2918,3628
2022-01-01,January,2022,Producto A,5367,1137
2022-02-01,February,2022,Producto A,8591,1312
2022-03-01,March,2022,Producto A,9267,1429
2022-04-01,April,2022,Producto A,8359,3787
2022-05-01,May,2022,Producto A,7213,1804
2022-06-01,June,2022,Producto A,4379,3947
2022-07-01,July,2022,Producto A,5707,2215
2022-08-01,August,2022,Producto A,3634,3427
2022-09-01,September,2022,Producto A,7942,1645
2022-10-01,October,2022,Producto A,5958,1693
2022-11-01,November,2022,Producto A,5814,1463
2022-12-01,December,2022,Producto A,8050,3619
2023-01-01,January,2023,Producto A,5399,2016
2023-02-01,February,2023,Producto A,2534,2010
2023-03-01,March,2023,Producto A,5332,1425
2023-04-01,April,2023,Producto A,2266,3736
2023-05-01,May,2023,Producto A,5554,4287
2023-06-01,June,2023,Producto A,3892,2748
2023-07-01,July,2023,Producto A,9765,4559
2023-08-01,August,2023,Producto A,8510,4066
2023-09-01,September,2023,Producto A,5092,4721
2023-10-01,October,2023,Producto A,8930,1716
2023-11-01,November,2023,Producto A,5522,1268
2023-12-01,December,2023,Producto A,8317,1416
2014-01-01,January,2014,Producto B,5169,3045
2014-02-01,February,2014,Producto B,9222,4228
2014-03-01,March,2014,Producto B,4142,4677
2014-04-01,April,2014,Producto B,6755,2547
2014-05-01,May,2014,Producto B,3186,2051
2014-06-01,June,2014,Producto B,2833,4241
2014-07-01,July,2014,Producto B,4930,4342
2014-08-01,August,2014,Producto B,6317,1149
2014-09-01,September,2014,Producto B,7297,1623
2014-10-01,October,2014,Producto B,9768,2878
2014-11-01,November,2014,Producto B,5701,2912
2014-12-01,December,2014,Producto B,4653,1962
2015-01-01,January,2015,Producto B,8204,2048
2015-02-01,February,2015,Producto B,7633,1278
2015-03-01,March,2015,Producto B,2146,4233
2015-04-01,April,2015,Producto B,6762,3532
2015-05-01,May,2015,Producto B,2138,1101
2015-06-01,June,2015,Producto B,5540,1757
2015-07-01,July,2015,Producto B,2817,4858
2015-08-01,August,2015,Producto B,7708,1747
2015-09-01,September,2015,Producto B,7491,3295
2015-10-01,October,2015,Producto B,5581,3214
2015-11-01,November,2015,Producto B,5934,4256
2015-12-01,December,2015,Producto B,4467,1494
2016-01-01,January,2016,Producto B,2203,3993
2016-02-01,February,2016,Producto B,3797,4679
2016-03-01,March,2016,Producto B,8866,4257
2016-04-01,April,2016,Producto B,2962,2602
2016-05-01,May,2016,Producto B,5362,4656
2016-06-01,June,2016,Producto B,3242,1446
2016-07-01,July,2016,Producto B,7297,2929
2016-08-01,August,2016,Producto B,2215,3055
2016-09-01,September,2016,Producto B,6026,4747
2016-10-01,October,2016,Producto B,3992,2823
2016-11-01,November,2016,Producto B,9808,1692
2016-12-01,December,2016,Producto B,5152,4672
2017-01-01,January,2017,Producto B,4554,1763
2017-02-01,February,2017,Producto B,9583,1273
2017-03-01,March,2017,Producto B,5565,4512
2017-04-01,April,2017,Producto B,6429,4585
2017-05-01,May,2017,Producto B,3411,3364
2017-06-01,June,2017,Producto B,2138,2588
2017-07-01,July,2017,Producto B,2794,3894
2017-08-01,August,2017,Producto B,9403,2783
2017-09-01,September,2017,Producto B,2438,2569
2017-10-01,October,2017,Producto B,3791,1968
2017-11-01,November,2017,Producto B,2510,4208
2017-12-01,December,2017,Producto B,8680,1144
2018-01-01,January,2018,Producto B,3012,4563
2018-02-01,February,2018,Producto B,6463,4498
2018-03-01,March,2018,Producto B,2672,3270
2018-04-01,April,2018,Producto B,4529,4337
2018-05-01,May,2018,Producto B,4853,3489
2018-06-01,June,2018,Producto B,4723,2606
2018-07-01,July,2018,Producto B,7885,2878
2018-08-01,August,2018,Producto B,7789,4601
2018-09-01,September,2018,Producto B,8368,3146
2018-10-01,October,2018,Producto B,7065,1959
2018-11-01,November,2018,Producto B,5991,2992
2018-12-01,December,2018,Producto B,5576,3922
2019-01-01,January,2019,Producto B,5638,1178
2019-02-01,February,2019,Producto B,3365,1241
2019-03-01,March,2019,Producto B,8619,4776
2019-04-01,April,2019,Producto B,3842,1995
2019-05-01,May,2019,Producto B,4390,4839
2019-06-01,June,2019,Producto B,6315,3343
2019-07-01,July,2019,Producto B,5552,4933
2019-08-01,August,2019,Producto B,9207,4644
2019-09-01,September,2019,Producto B,9987,3856
2019-10-01,October,2019,Producto B,9251,4773
2019-11-01,November,2019,Producto B,6108,3666
2019-12-01,December,2019,Producto B,3796,3643
2020-01-01,January,2020,Producto B,5892,4935
2020-02-01,February,2020,Producto B,4687,4150
2020-03-01,March,2020,Producto B,8309,4250
2020-04-01,April,2020,Producto B,8693,2281
2020-05-01,May,2020,Producto B,8306,2198
2020-06-01,June,2020,Producto B,5224,3615
2020-07-01,July,2020,Producto B,2279,3542
2020-08-01,August,2020,Producto B,3536,4576
2020-09-01,September,2020,Producto B,4731,4218
2020-10-01,October,2020,Producto B,5092,2801
2020-11-01,November,2020,Producto B,7189,2721
2020-12-01,December,2020,Producto B,7338,4280
2021-01-01,January,2021,Producto B,9727,4153
2021-02-01,February,2021,Producto B,8740,2617
2021-03-01,March,2021,Producto B,5191,3494
2021-04-01,April,2021,Producto B,6165,4570
2021-05-01,May,2021,Producto B,5815,4206
2021-06-01,June,2021,Producto B,8302,1187
2021-07-01,July,2021,Producto B,4187,1771
2021-08-01,August,2021,Producto B,9469,1447
2021-09-01,September,2021,Producto B,2372,2013
2021-10-01,October,2021,Producto B,6543,1693
2021-11-01,November,2021,Producto B,6984,4952
2021-12-01,December,2021,Producto B,7839,4627
2022-01-01,January,2022,Producto B,5855,3663
2022-02-01,February,2022,Producto B,3750,1668
2022-03-01,March,2022,Producto B,7684,2630
2022-04-01,April,2022,Producto B,6503,4038
2022-05-01,May,2022,Producto B,5760,4844
2022-06-01,June,2022,Producto B,9490,2941
2022-07-01,July,2022,Producto B,2929,1126
2022-08-01,August,2022,Producto B,3718,2473
2022-09-01,September,2022,Producto B,3270,1123
2022-10-01,October,2022,Producto B,3200,3154
2022-11-01,November,2022,Producto B,9252,3022
2022-12-01,December,2022,Producto B,6811,1461
2023-01-01,January,2023,Producto B,5377,2905
2023-02-01,February,2023,Producto B,4222,4051
2023-03-01,March,2023,Producto B,4729,3833
2023-04-01,April,2023,Producto B,6407,3667
2023-05-01,May,2023,Producto B,4887,3804
2023-06-01,June,2023,Producto B,7729,4461
2023-07-01,July,2023,Producto B,7043,3885
2023-08-01,August,2023,Producto B,7501,4214
2023-09-01,September,2023,Producto B,9720,2353
2023-10-01,October,2023,Producto B,3600,2567
2023-11-01,November,2023,Producto B,5659,3763
2023-12-01,December,2023,Producto B,3119,1159
2014-01-01,January,2014,Producto C,2957,4414
2014-02-01,February,2014,Producto C,8132,4350
2014-03-01,March,2014,Producto C,4312,2397
2014-04-01,April,2014,Producto C,5858,4911
2014-05-01,May,2014,Producto C,6499,2333
2014-06-01,June,2014,Producto C,4446,1968
2014-07-01,July,2014,Producto C,4984,3056
2014-08-01,August,2014,Producto C,9650,2556
2014-09-01,September,2014,Producto C,8434,1100
2014-10-01,October,2014,Producto C,5065,3364
2014-11-01,November,2014,Producto C,4942,3735
2014-12-01,December,2014,Producto C,4545,1028
2015-01-01,January,2015,Producto C,8426,4160
2015-02-01,February,2015,Producto C,2996,4448
2015-03-01,March,2015,Producto C,5212,3868
2015-04-01,April,2015,Producto C,7168,2616
2015-05-01,May,2015,Producto C,3661,3236
2015-06-01,June,2015,Producto C,6618,2527
2015-07-01,July,2015,Producto C,8545,2490
2015-08-01,August,2015,Producto C,6438,2815
2015-09-01,September,2015,Producto C,9252,3520
2015-10-01,October,2015,Producto C,7423,1437
2015-11-01,November,2015,Producto C,9015,1908
2015-12-01,December,2015,Producto C,5924,2729
2016-01-01,January,2016,Producto C,7509,1530
2016-02-01,February,2016,Producto C,6617,2690
2016-03-01,March,2016,Producto C,7970,3759
2016-04-01,April,2016,Producto C,3347,2746
2016-05-01,May,2016,Producto C,6160,2017
2016-06-01,June,2016,Producto C,4424,4883
2016-07-01,July,2016,Producto C,3204,1646
2016-08-01,August,2016,Producto C,7858,2551
2016-09-01,September,2016,Producto C,9511,3131
2016-10-01,October,2016,Producto C,4644,1248
2016-11-01,November,2016,Producto C,4915,4642
2016-12-01,December,2016,Producto C,5184,1919
2017-01-01,January,2017,Producto C,9627,2611
2017-02-01,February,2017,Producto C,9999,3138
2017-03-01,March,2017,Producto C,8788,4743
2017-04-01,April,2017,Producto C,8148,4393
2017-05-01,May,2017,Producto C,8804,4354
2017-06-01,June,2017,Producto C,3270,4393
2017-07-01,July,2017,Producto C,2664,2361
2017-08-01,August,2017,Producto C,7917,2845
2017-09-01,September,2017,Producto C,8844,2526
2017-10-01,October,2017,Producto C,4982,2620
2017-11-01,November,2017,Producto C,2916,2895
2017-12-01,December,2017,Producto C,6671,4861
2018-01-01,January,2018,Producto C,7908,2289
2018-02-01,February,2018,Producto C,5950,2126
2018-03-01,March,2018,Producto C,6987,3008
2018-04-01,April,2018,Producto C,5785,3977
2018-05-01,May,2018,Producto C,6213,3953
2018-06-01,June,2018,Producto C,5215,2630
2018-07-01,July,2018,Producto C,7884,1877
2018-08-01,August,2018,Producto C,9107,4497
2018-09-01,September,2018,Producto C,4261,3069
2018-10-01,October,2018,Producto C,7769,4773
2018-11-01,November,2018,Producto C,4684,1813
2018-12-01,December,2018,Producto C,7477,1765
2019-01-01,January,2019,Producto C,6640,2601
2019-02-01,February,2019,Producto C,2862,3772
2019-03-01,March,2019,Producto C,2115,3510
2019-04-01,April,2019,Producto C,2281,1260
2019-05-01,May,2019,Producto C,3588,2039
2019-06-01,June,2019,Producto C,4436,4723
2019-07-01,July,2019,Producto C,7198,2994
2019-08-01,August,2019,Producto C,9669,3542
2019-09-01,September,2019,Producto C,4890,4350
2019-10-01,October,2019,Producto C,6886,4335
2019-11-01,November,2019,Producto C,3419,4506
2019-12-01,December,2019,Producto C,8636,2200
2020-01-01,January,2020,Producto C,7891,3784
2020-02-01,February,2020,Producto C,6138,4583
2020-03-01,March,2020,Producto C,4890,1012
2020-04-01,April,2020,Producto C,7247,2668
2020-05-01,May,2020,Producto C,4494,2492
2020-06-01,June,2020,Producto C,2121,3321
2020-07-01,July,2020,Producto C,8199,3363
2020-08-01,August,2020,Producto C,8280,2985
2020-09-01,September,2020,Producto C,6891,4845
2020-10-01,October,2020,Producto C,2588,4333
2020-11-01,November,2020,Producto C,3860,4317
2020-12-01,December,2020,Producto C,4426,3801
2021-01-01,January,2021,Producto C,5144,4904
2021-02-01,February,2021,Producto C,4935,2352
2021-03-01,March,2021,Producto C,2749,1511
2021-04-01,April,2021,Producto C,3557,2177
2021-05-01,May,2021,Producto C,9849,4885
2021-06-01,June,2021,Producto C,5772,1191
2021-07-01,July,2021,Producto C,5140,3270
2021-08-01,August,2021,Producto C,2406,4412
2021-09-01,September,2021,Producto C,7287,4967
2021-10-01,October,2021,Producto C,8231,1850
2021-11-01,November,2021,Producto C,2988,4782
2021-12-01,December,2021,Producto C,9122,2238
2022-01-01,January,2022,Producto C,2288,3778
2022-02-01,February,2022,Producto C,6845,2772
2022-03-01,March,2022,Producto C,5378,4276
2022-04-01,April,2022,Producto C,2060,4706
2022-05-01,May,2022,Producto C,8037,1477
2022-06-01,June,2022,Producto C,9198,3174
2022-07-01,July,2022,Producto C,3469,2839
2022-08-01,August,2022,Producto C,8965,3726
2022-09-01,September,2022,Producto C,2803,4612
2022-10-01,October,2022,Producto C,7224,3394
2022-11-01,November,2022,Producto C,3030,1359
2022-12-01,December,2022,Producto C,6068,4026
2023-01-01,January,2023,Producto C,6431,4335
2023-02-01,February,2023,Producto C,2696,3887
2023-03-01,March,2023,Producto C,5428,1473
2023-04-01,April,2023,Producto C,4165,4004
2023-05-01,May,2023,Producto C,8090,2192
2023-06-01,June,2023,Producto C,6033,4291
2023-07-01,July,2023,Producto C,9761,2783
2023-08-01,August,2023,Producto C,9539,1699
2023-09-01,September,2023,Producto C,7139,4736
2023-10-01,October,2023,Producto C,9572,4474
2023-11-01,November,2023,Producto C,5651,2586
2023-12-01,December,2023,Producto C,9375,2574
2014-01-01,January,2014,Producto D,9035,4826
2014-02-01,February,2014,Producto D,4390,2601
2014-03-01,March,2014,Producto D,3273,2008
2014-04-01,April,2014,Producto D,9861,4627
2014-05-01,May,2014,Producto D,5731,1991
2014-06-01,June,2014,Producto D,3720,1633
2014-07-01,July,2014,Producto D,5294,4090
2014-08-01,August,2014,Producto D,8599,1828
2014-09-01,September,2014,Producto D,9888,1344
2014-10-01,October,2014,Producto D,7539,1231
2014-11-01,November,2014,Producto D,9721,2556
2014-12-01,December,2014,Producto D,5393,4678
2015-01-01,January,2015,Producto D,6461,3771
2015-02-01,February,2015,Producto D,6277,2513
2015-03-01,March,2015,Producto D,7929,1138
2015-04-01,April,2015,Producto D,7547,2642
2015-05-01,May,2015,Producto D,8668,3074
2015-06-01,June,2015,Producto D,7805,4825
2015-07-01,July,2015,Producto D,2905,3859
2015-08-01,August,2015,Producto D,2399,1205
2015-09-01,September,2015,Producto D,6726,2977
2015-10-01,October,2015,Producto D,9694,2261
2015-11-01,November,2015,Producto D,5530,1899
2015-12-01,December,2015,Producto D,2463,4228
2016-01-01,January,2016,Producto D,7003,1204
2016-02-01,February,2016,Producto D,9187,4819
2016-03-01,March,2016,Producto D,6144,1643
2016-04-01,April,2016,Producto D,2623,2465
2016-05-01,May,2016,Producto D,5291,4166
2016-06-01,June,2016,Producto D,4052,1448
2016-07-01,July,2016,Producto D,6752,2335
2016-08-01,August,2016,Producto D,2014,2484
2016-09-01,September,2016,Producto D,7894,2594
2016-10-01,October,2016,Producto D,6268,4460
2016-11-01,November,2016,Producto D,5428,4902
2016-12-01,December,2016,Producto D,4106,1910
2017-01-01,January,2017,Producto D,4043,4909
2017-02-01,February,2017,Producto D,6992,4699
2017-03-01,March,2017,Producto D,7429,3892
2017-04-01,April,2017,Producto D,2308,2277
2017-05-01,May,2017,Producto D,2605,2501
2017-06-01,June,2017,Producto D,4180,2141
2017-07-01,July,2017,Producto D,5594,1361
2017-08-01,August,2017,Producto D,6405,2150
2017-09-01,September,2017,Producto D,4876,3621
2017-10-01,October,2017,Producto D,6729,4130
2017-11-01,November,2017,Producto D,8452,2056
2017-12-01,December,2017,Producto D,6383,4868
2018-01-01,January,2018,Producto D,5336,2310
2018-02-01,February,2018,Producto D,5263,1732
2018-03-01,March,2018,Producto D,8873,3933
2018-04-01,April,2018,Producto D,2106,3321
2018-05-01,May,2018,Producto D,5547,1640
2018-06-01,June,2018,Producto D,4811,2518
2018-07-01,July,2018,Producto D,3785,1637
2018-08-01,August,2018,Producto D,3355,4569
2018-09-01,September,2018,Producto D,8755,1281
2018-10-01,October,2018,Producto D,5350,2895
2018-11-01,November,2018,Producto D,8122,1438
2018-12-01,December,2018,Producto D,5886,2226
2019-01-01,January,2019,Producto D,2134,4943
2019-02-01,February,2019,Producto D,4946,3467
2019-03-01,March,2019,Producto D,3452,1357
2019-04-01,April,2019,Producto D,6357,3695
2019-05-01,May,2019,Producto D,5865,2709
2019-06-01,June,2019,Producto D,5758,4026
2019-07-01,July,2019,Producto D,4345,3682
2019-08-01,August,2019,Producto D,6611,4208
2019-09-01,September,2019,Producto D,5923,2857
2019-10-01,October,2019,Producto D,2640,1796
2019-11-01,November,2019,Producto D,3035,3318
2019-12-01,December,2019,Producto D,3744,1055
2020-01-01,January,2020,Producto D,2119,4872
2020-02-01,February,2020,Producto D,4533,4523
2020-03-01,March,2020,Producto D,2454,2340
2020-04-01,April,2020,Producto D,9558,1562
2020-05-01,May,2020,Producto D,2035,2464
2020-06-01,June,2020,Producto D,7167,1827
2020-07-01,July,2020,Producto D,4500,3195
2020-08-01,August,2020,Producto D,5678,4965
2020-09-01,September,2020,Producto D,7951,4246
2020-10-01,October,2020,Producto D,6670,1070
2020-11-01,November,2020,Producto D,6349,1141
2020-12-01,December,2020,Producto D,5291,1921
2021-01-01,January,2021,Producto D,7768,2919
2021-02-01,February,2021,Producto D,5320,2469
2021-03-01,March,2021,Producto D,2078,2474
2021-04-01,April,2021,Producto D,3276,4490
2021-05-01,May,2021,Producto D,7206,1895
2021-06-01,June,2021,Producto D,5780,2069
2021-07-01,July,2021,Producto D,8012,3395
2021-08-01,August,2021,Producto D,4087,4978
2021-09-01,September,2021,Producto D,7753,2148
2021-10-01,October,2021,Producto D,3640,3881
2021-11-01,November,2021,Producto D,7210,2486
2021-12-01,December,2021,Producto D,3279,4539
2022-01-01,January,2022,Producto D,3998,1688
2022-02-01,February,2022,Producto D,9628,1539
2022-03-01,March,2022,Producto D,7820,1985
2022-04-01,April,2022,Producto D,9305,4987
2022-05-01,May,2022,Producto D,2102,3485
2022-06-01,June,2022,Producto D,6639,3320
2022-07-01,July,2022,Producto D,6648,3620
2022-08-01,August,2022,Producto D,2516,2825
2022-09-01,September,2022,Producto D,5609,3606
2022-10-01,October,2022,Producto D,2649,2548
2022-11-01,November,2022,Producto D,3457,2790
2022-12-01,December,2022,Producto D,5149,4351
2023-01-01,January,2023,Producto D,4797,4640
2023-02-01,February,2023,Producto D,6497,3284
2023-03-01,March,2023,Producto D,4383,2840
2023-04-01,April,2023,Producto D,9006,3526
2023-05-01,May,2023,Producto D,4523,3829
2023-06-01,June,2023,Producto D,2358,3598
2023-07-01,July,2023,Producto D,8665,4518
2023-08-01,August,2023,Producto D,8437,2155
2023-09-01,September,2023,Producto D,7993,1572
2023-10-01,October,2023,Producto D,7727,2713
2023-11-01,November,2023,Producto D,5726,3759
2023-12-01,December,2023,Producto D,3943,4432
2014-01-01,January,2014,Producto E,3527,1597
2014-02-01,February,2014,Producto E,6757,1304
2014-03-01,March,2014,Producto E,9045,3665
2014-04-01,April,2014,Producto E,2859,3828
2014-05-01,May,2014,Producto E,4981,2635
2014-06-01,June,2014,Producto E,3598,2832
2014-07-01,July,2014,Producto E,4992,3882
2014-08-01,August,2014,Producto E,4197,3433
2014-09-01,September,2014,Producto E,3523,3914
2014-10-01,October,2014,Producto E,4695,4105
2014-11-01,November,2014,Producto E,8605,1860
2014-12-01,December,2014,Producto E,3864,3282
2015-01-01,January,2015,Producto E,3812,4854
2015-02-01,February,2015,Producto E,3653,1222
2015-03-01,March,2015,Producto E,9609,4800
2015-04-01,April,2015,Producto E,6734,2198
2015-05-01,May,2015,Producto E,7603,4200
2015-06-01,June,2015,Producto E,8475,1172
2015-07-01,July,2015,Producto E,3730,4548
2015-08-01,August,2015,Producto E,5088,4834
2015-09-01,September,2015,Producto E,8952,2159
2015-10-01,October,2015,Producto E,9756,4920
2015-11-01,November,2015,Producto E,2981,3473
2015-12-01,December,2015,Producto E,5065,2142
2016-01-01,January,2016,Producto E,3836,1119
2016-02-01,February,2016,Producto E,8929,3536
2016-03-01,March,2016,Producto E,6330,1087
2016-04-01,April,2016,Producto E,5374,4940
2016-05-01,May,2016,Producto E,7529,4075
2016-06-01,June,2016,Producto E,8514,4557
2016-07-01,July,2016,Producto E,7998,2012
2016-08-01,August,2016,Producto E,3664,3867
2016-09-01,September,2016,Producto E,9139,3317
2016-10-01,October,2016,Producto E,2101,3925
2016-11-01,November,2016,Producto E,3005,4208
2016-12-01,December,2016,Producto E,6135,1665
2017-01-01,January,2017,Producto E,9153,2531
2017-02-01,February,2017,Producto E,5271,3694
2017-03-01,March,2017,Producto E,8957,4686
2017-04-01,April,2017,Producto E,6149,2213
2017-05-01,May,2017,Producto E,9871,3689
2017-06-01,June,2017,Producto E,5429,2269
2017-07-01,July,2017,Producto E,3727,1603
2017-08-01,August,2017,Producto E,7507,3666
2017-09-01,September,2017,Producto E,9762,2336
2017-10-01,October,2017,Producto E,2722,4497
2017-11-01,November,2017,Producto E,9366,1892
2017-12-01,December,2017,Producto E,5689,4447
2018-01-01,January,2018,Producto E,2447,3864
2018-02-01,February,2018,Producto E,2634,4141
2018-03-01,March,2018,Producto E,7848,2005
2018-04-01,April,2018,Producto E,4545,4187
2018-05-01,May,2018,Producto E,8249,4319
2018-06-01,June,2018,Producto E,3775,4750
2018-07-01,July,2018,Producto E,8459,4515
2018-08-01,August,2018,Producto E,7833,3468
2018-09-01,September,2018,Producto E,8207,3218
2018-10-01,October,2018,Producto E,5986,2375
2018-11-01,November,2018,Producto E,4881,4574
2018-12-01,December,2018,Producto E,3775,3294
2019-01-01,January,2019,Producto E,5931,3562
2019-02-01,February,2019,Producto E,7130,2790
2019-03-01,March,2019,Producto E,8890,2732
2019-04-01,April,2019,Producto E,7005,1163
2019-05-01,May,2019,Producto E,4144,4113
2019-06-01,June,2019,Producto E,9558,4212
2019-07-01,July,2019,Producto E,3320,4227
2019-08-01,August,2019,Producto E,8571,1364
2019-09-01,September,2019,Producto E,2409,4886
2019-10-01,October,2019,Producto E,6396,1779
2019-11-01,November,2019,Producto E,3027,3547
2019-12-01,December,2019,Producto E,5839,3252
2020-01-01,January,2020,Producto E,8108,2915
2020-02-01,February,2020,Producto E,5207,1436
2020-03-01,March,2020,Producto E,6656,1434
2020-04-01,April,2020,Producto E,9399,1535
2020-05-01,May,2020,Producto E,6306,3604
2020-06-01,June,2020,Producto E,5223,3556
2020-07-01,July,2020,Producto E,7478,1531
2020-08-01,August,2020,Producto E,7140,2620
2020-09-01,September,2020,Producto E,3644,3283
2020-10-01,October,2020,Producto E,3435,2109
2020-11-01,November,2020,Producto E,8733,4436
2020-12-01,December,2020,Producto E,2211,1982
2021-01-01,January,2021,Producto E,9172,1083
2021-02-01,February,2021,Producto E,6336,4889
2021-03-01,March,2021,Producto E,8386,4504
2021-04-01,April,2021,Producto E,4515,3188
2021-05-01,May,2021,Producto E,8480,2659
2021-06-01,June,2021,Producto E,6071,4656
2021-07-01,July,2021,Producto E,5897,1367
2021-08-01,August,2021,Producto E,6363,4171
2021-09-01,September,2021,Producto E,4277,3669
2021-10-01,October,2021,Producto E,8391,4786
2021-11-01,November,2021,Producto E,7479,3671
2021-12-01,December,2021,Producto E,4124,3483
2022-01-01,January,2022,Producto E,5913,3505
2022-02-01,February,2022,Producto E,7320,3130
2022-03-01,March,2022,Producto E,4457,3416
2022-04-01,April,2022,Producto E,6595,4518
2022-05-01,May,2022,Producto E,4869,4934
2022-06-01,June,2022,Producto E,6029,1540
2022-07-01,July,2022,Producto E,4861,2031
2022-08-01,August,2022,Producto E,5951,2464
2022-09-01,September,2022,Producto E,3657,2068
2022-10-01,October,2022,Producto E,4207,2651
2022-11-01,November,2022,Producto E,4642,1781
2022-12-01,December,2022,Producto E,5399,3215
2023-01-01,January,2023,Producto E,7096,1751
2023-02-01,February,2023,Producto E,6074,1879
2023-03-01,March,2023,Producto E,6006,2663
2023-04-01,April,2023,Producto E,4275,3899
2023-05-01,May,2023,Producto E,9490,1006
2023-06-01,June,2023,Producto E,2397,3150
2023-07-01,July,2023,Producto E,7122,3494
2023-08-01,August,2023,Producto E,3251,4659
2023-09-01,September,2023,Producto E,6084,3982
2023-10-01,October,2023,Producto E,9734,4007
2023-11-01,November,2023,Producto E,9632,3142
2023-12-01,December,2023,Producto E,9298,3818
2014-01-01,January,2014,Producto F,3192,1320
2014-02-01,February,2014,Producto F,4143,4013
2014-03-01,March,2014,Producto F,6031,2729
2014-04-01,April,2014,Producto F,2409,3917
2014-05-01,May,2014,Producto F,8308,2445
